"3/4/2013,Adhik matra me garbh-nirodhak lena apke swasthya ke liye nuksandeh hai. Isse pet seene tatha sar me dard jee michlana jaisi shikaetein ho sakti hai."
"3/5/2013,Agar koi HIV se peedit insaan sahi tarike se apna upchaar nahi karwata to AIDS hone me 10 saal se bhi kam samay lagta hai."
"3/6/2013,Dark Chocolates mein anti-oxidants tatha phenylethylamine hote hain jo apke andar utsaah jagate hain. Sath hi ye sankraman se bhi bachate hain."
"3/7/2013,Missionary position garbhdharan ke liye sabse uchit awastha hai. Is awastha mein shukranu yoni tak kaafi najdeeki se pahuch pate hain."
"3/8/2013,Asurakshit maukhik sex sambhog ki tarah hi hanikarak hai. Aisa balpurvak karna muh mein tatha peshab ke samay jananango mein peeda utpann kar sakta hai."
"3/9/2013,Agar ek garbhwati stri HIV se peedit hai to virus garbhdharan delivery ya stanpaan ke dauraan shishu tak pahuch sakta hai."
"3/10/2013,Ek HIV positive mahila tatha ek HIV negative purush kritrim garbhadhan ke dwara  garbhdharan kar sakte hain. Isme kisi bhi prakar ka HIV sankraman nahi hota."
"3/11/2013,Yah ek sarvagyat tathya hai ki sambhog sharer ki urza badhata hai. Sath hi yah tanaw kam karta hai tatha wajan mein kami lata hai."
"3/12/2013,Maukhik sex anchahe garbh ki sambhawna se bachata hai. Chuki shukranu ka nikas much me hota hai to isse garbhdharan nahi ho sakta."
"3/13/2013,Condoms HIV se bachne ke sarvottam garbh-nirodhak upayo me se ek hai. Sath hi yah janm par niyantran karne wale goliyo se acha hota hai."
"3/14/2013,Vitamin B- complex yani ki Vitamin B1 se B5 aur B12 apke apki sex utkantha badhane mein madad karta hai. Sath hi yah sharer mein raktsanchaar bhi badhata hai."
"3/15/2013,Ek se adhik saathi ke sath maukhik sambhog karna STD yani ki Sexually Transmitted Disease ko badhawa de sakta hai. Isse sankraman ke khatre badh jate hain."
"3/16/2013,Sambhog ke dauran ek doosre ki taraf letna dono saathiyo pakafi had tak bhar kam karta hai. Ye wajni mahilaon ke liye jyada sahayak hai."
"3/17/2013,Apni aankhein band karke apne saathi ko pyaar se choomna dono ke andar ek hone ke atrang bhaw ko utpann karne mein madad karta hai."
"3/18/2013,Sex therapists ke anusar mahilaein jinhone sambhog ka anand liya hai ve un mein se ek hain jinhe khud se pyaar hai. To pehle khud se pyaar karna seekhein."
