"3/18/2013,Money will come your way. But beware of unnecessary expenses. You need to make decisions to invest it in proper place.,ARIES "
"3/18/2013,Indications of spending pleasant moments on domestic prospectives. Romance and love will be both rewarding and pleasing.,TAURUS "
"3/18/2013,Your honest and hard efforts may help you earn some rewards on both personal and professional affronts. Quite an enthusiastic day.,GEMINI "
"3/18/2013,Do not allow emotions to hover over you. Your multi tasking ability will help you to react well at your work affronts.,CANCER "
"3/18/2013,You'll be able to trust your instincts and spend your money more freely. You can also double increase your earning potential.,LEO "
"3/18/2013,You'll have plenty of other powerful planetary influences to keep your romantic life flourishing. Go get whatever you want.,VIRGO "
"3/18/2013,Relationship lessons have been relentless this time. You need to make important decisions about where to commit and where to quit.,LIBRA "
"3/18/2013,With Neptune in your romance sector your love life is about to take a poetic turn. You will spend good times with your partner.,SCORPIO "
"3/18/2013,Change is inevitable but you have a favorable luck on your side this time. Time to boost up your energies.,SAGITTARIUS "
"3/18/2013,You'll be looking forward to question many aspects of your existence personally as well as professionally.,CAPRICORN "
"3/18/2013,You may revisit sweet memories of love which may remind you of past times. This will also help you analyse your love life.,AQUARIUS "
"3/18/2013,The day marks partying with your friends or office colleagues. You may take a a small break from your daily monotonous routine.,PISCES "
"3/19/2013,There are possibilities of serious discussions and conflicts socially or personally. Try to keep control on your temper.,ARIES "
"3/19/2013,You may make developments on your proffessional fronts. But this may lead to jealousy from your colleagues side.,TAURUS "
"3/19/2013,Indications of new love and romance affairs blooming in your current life. You may also plan some trips to distant places.,GEMINI "
"3/19/2013,Liberty joy and creativity lies by your side. It will strengthen your base and will help you move forward in spheres of life.,CANCER "
"3/19/2013,After a long time of blocking your ability to speak from the heart you are finally back to your old outspoken self.,LEO "
"3/19/2013,You're still getting over your fear of the unknown. Trust that you're being put on an accelerated course to success.,VIRGO "
"3/19/2013,Jupiter's lucky presence in your sector will bring you every material and emotional resource you could ever want or need.,LIBRA "
"3/19/2013,Friends will play a vital role in strengthening your career goals. So never underestimate the power of whom you know..,SCORPIO "
"3/19/2013,You can plan for an extended vacation with family. You can also change your focus from work to relationships.,SAGITTARIUS "
"3/19/2013,You may feel guilty to break so many hearts of your loved ones. At the same time you may be portrayed with lots of affection.,CAPRICORN "
"3/19/2013,Under the influence of Neptune's illusory powers you may doubt your ability to read people accurately. Beware of your steps.,AQUARIUS "
"3/19/2013,You have restored your faith in yourself largely by your own efforts. It is going to help you fulfill your own goals.,PISCES "
"3/20/2013,Listening to your heart will create a feel good factor in you. Spend time with family. Perfect time for love and romance.,ARIES "
"3/20/2013,You may take a short break from your work. Planning a small holiday trip with family and friends will make you feel happy.,TAURUS "
"3/20/2013,Your enthusiasm and confidence will create positive energies in you. New circumstances will give you increased opportunities.,GEMINI "
"3/20/2013,Raise yourself above gossips and rumours. You will be able to enjoy the comforts and pleasures of life. A merry time for you.,CANCER "
"3/20/2013,Leo is the sign of love. Mars activates your romance sector making sure there's plenty of heat to take you through.,LEO "
"3/20/2013,Any financial challenges you've had to endure since 2009 should come to an end. Planning for a change of residence is possible.,VIRGO "
"3/20/2013,A time for change. It will also ensure your coming into true power by transforming all the dead weight of your past.,LIBRA "
"3/20/2013,You will plan for higher goals. A good portion of the parties you attend will have some sort of work component behind them.,SCORPIO "
"3/20/2013,Keep an eye out for the return of old lovers. Your feelings or the situation itself could change drastically.,SAGITTARIUS "
"3/20/2013,You may act creatively today which may prove rewarding. You may also be appreciated for your practical approach.,CAPRICORN "
"3/20/2013,Its time to come out of yourself now. Analyze your own potentials and skills and without getting distracted.,AQUARIUS "
"3/20/2013,You'll feel like you've come home to your true self. You can immerse yourself in the oceanic bliss of inspiration and compassion.,PISCES "
"3/21/2013,Beware of causing any kind of dissappointment against your loved ones. Try to be patient and listen to your heart.,ARIES "
"3/21/2013,Your dreams of thinking larger than life will make you feel more ambitious. Perfect season of love and romance.,TAURUS "
"3/21/2013,You may get yourself involved in some petty squabbles. Beware of any kind of cheatings on work affronts. Avoid trusting everyone.,GEMINI "
"3/21/2013,Interacting with people will be your primary focus today. Finances are on upswing. Beware of being over-confident.,CANCER "
"3/21/2013,Jupiter is going to bring good things in your social life. You might also be invited to unexpected parties by your friends.,LEO "
"3/21/2013,The new Moon in your communication sector could bring new potential for learning speaking writing or travel opportunities.,VIRGO "
"3/21/2013,No more flirting now. Just be what you are and get prepared to get translated into more passionate relationships.,LIBRA "
"3/21/2013,Saturn demads absolute integrity and commitment in all arenas of your life especially relationships. Be true to your instincts.,SCORPIO "
"3/21/2013,Expand your talents and explore possibilities at your work affronts. You may impress your mentors or seniors.,SAGITTARIUS "
"3/21/2013,The wonderful chemistry you share with your partner makes you feel lively and full of enthusiasm. Enjoy the day.,CAPRICORN "
"3/21/2013,Neptune may move into your money sector ensuring your ability to spend within the bounds of your financial reality.,AQUARIUS "
"3/21/2013,You are at your creative best. You have money status and prestige in your sector as you move ahead day by day.,PISCES "
"3/22/2013,Perfect time for prayer and meditation. You are looking forward to a contemplative life. Following your true inclinations.,ARIES "
"3/22/2013,You may find some tricky solutions to your work problems. Your brilliant and wisdom filled suggestions will earn you applauses.,TAURUS "
"3/22/2013,You break all records of endurance and have fun in your process. You will cross all the hurdles coming your way.,GEMINI "
"3/22/2013,You may experience a feeling of envy from your hidden or open rivalry. Gifts legacy or other benefits may come your way.,CANCER "
"3/22/2013,Saturn is leaving your communication sector making all your business correspondence and networking tasks that much easier.,LEO "
"3/22/2013,You are still learning the way that the more you let go the more you receive. Just beware of becoming too self-sacrificing.,VIRGO "
"3/22/2013,Communication is going to play a vital part in your professional projects this time. Think twice before speaking anything.,LIBRA "
"3/22/2013,Your values are going to be tested so get ready to avoid any kind of stress. You may also feel lightened from the burdens.,SCORPIO "
"3/22/2013,The presence of Jupiter in your work sector will ensure something that will bring glorious opportunities in your chosen field.,SAGITTARIUS "
"3/22/2013,Time to shape your creative visions into reality now. Jupiter will join Venus doubling pleasure and luck in your daily work.,CAPRICORN "
"3/22/2013,This is a chance to expand your viewpoint on past events that have shaped who you are today. You may feel responsible today.,AQUARIUS "
"3/22/2013,You will be drawn to religion spiritualism prayers meditation yoga and rituals of worship in search for some peace of mind.,PISCES "
"3/23/2013,Do not look down on someone who loves you. Though you are ready to take risks you are still treating your love with disdain.,ARIES "
"3/23/2013,Try to control over your temper. Learn to ignore the trifles and keep yourself away from the mighty ego issues.,TAURUS "
"3/23/2013,Time for arrival of new love in your life. You may also plan for some international business or personal trips.,GEMINI "
"3/23/2013,Your adoption of positive attitude towards life will help you go forward. You will be able to resolve your doubts all by yourself.,CANCER "
"3/23/2013,The last quarter of the moon is in your sign. Do not get obsessive and keep away the fanatical thought processes.,LEO "
