"3/4/2013,Kaanch ki unchaai agar dakshin-pashchimi disha ki or se badhi hui ho to ise vastu vikar mana jata hai. Ye aarthik haniyo ka dhyotak hai."
"3/5/2013,Shayankaksha ke darwaze jeewan me sambhawnaon ko darshate hain. Ye hamesha samkon ki tarh khulne chahiye taki sakaratmak urza andar aa sake."
"3/6/2013,Cash box ya drawer me kaanch chipkana sakaratmak urza utpann karta hai. Cash drawer ko hamesha dakshin ya paschimi deewaro par hona chahiye."
"3/7/2013,Dakshin-poorvi disha me shauchalaya ka hona aarthik drishti se hanikarak hai. Shauchalaya me paudhe rakhne se nakaratmak urza kam hoti hai."
"3/8/2013,Apki colony ka main gate dakshin-paschimi disha ki taraf nahi hona chahiye. Tatha iske samne badi imaratein ya T-junction nahi hone chahiye."
"3/9/2013,Apne flats ke liye plot hamesha niyamit aakar ka hi chune. Aniyamit aakar ke plots nakaratmak urza ko badhawa dete hain."
"3/10/2013,Apne ghar ke kono ko kabhi bhi ganda ya bhara hua na rakhein. Unhe hamesha swachch rakhein tatha urza ko sabhi kono me failne de."
"3/11/2013,Almirah ya ghar ke kisi bhi darwaze ko kholte samay kisi bhi prakar ki dhwani se bachein. Ye ghar me aane wale dhan ko rokta hai.   "
"3/12/2013,Dakshin disha ki tulna mein uttar ke iatarf jyada failaw hona ghar me sakaratmak urza lata hai aur aarthik sthiti majboot banata hai."
"3/13/2013,Seedhiyo ke niche kooda-karkat rakhna Vastu Vikar mana jata hai. Sath hi unke neeche jhadu ya joote rakhne se bhi bachein."
"3/14/2013,Uttar Uttar-purvi tatha purvi dishaein kaafii pawitra maani jaati hain. Inke neeche jhadu ya joote rakhne se bhi bachein."
"3/15/2013,Uttar disha bhagwan Kuber ka sthaan mana jata hai. Islie ise hamesha ujjwal rakhna chahiye. Ise sada dakshin se niche hona chahiye."
"3/16/2013,Shaam ke samay ghar ke sabhi lights ko on karna chahiye. Aisa karne se susti chinta tatha ghar ke sankat door hote hain."
"3/17/2013,Agar apka retail shop ya ek showroom hai to kaafi ujjwal roshni sakaratmak vatavaran bana sakti hai. Yah vyapar ke liye labhdayak hai."
"3/18/2013,Purvi disha ki taraf khula hona acha mana jata hai. Toilet/ Bathroom me dakshin ki taraf khidki rakhne se nakaratmak urza ka naash hota hai."
